NH-number;Neighborhood;Borough;Area (km²);Inhabitants;Inhabitants per km²;Latitude;Longitude;Radius
101;Mitte;Mitte;10.7;101932;9526;52.519982;13.404159;1369
102;Moabit;Mitte;7.72;79512;10299;52.524945;13.369661;968
103;Hansaviertel;Mitte;0.53;5894;11121;52.519985;13.34807;265
104;Tiergarten;Mitte;5.17;14753;2854;52.520226;13.370487;624
105;Wedding;Mitte;9.23;86688;9392;52.542787;13.367;1171
106;Gesundbrunnen;Mitte;6.13;95393;15562;52.549175;13.390076;754
201;Friedrichshain;Friedrichshain-Kreuzberg;9.78;1349;13793;52.510745;13.435171;1245
202;Kreuzberg;Friedrichshain-Kreuzberg;10.4;154862;14891;52.502247;13.395149;1329
301;Prenzlauer Berg;Pankow;11;164593;14963;52.549243;13.415596;1410
302;Weißensee;Pankow;7.93;53737;6776;52.558329;13.439551;996
303;Blankenburg;Pankow;6.03;6865;1138;52.591465;13.443482;740
304;Heinersdorf;Pankow;3.95;7621;1929;52.42986;13.32917;460
305;Karow;Pankow;6.65;19615;2950;52.615215;13.469465;824
306;Stadtrandsiedlung Malchow;Pankow;5.68;1123;197,7;52.57414;13.482568;693
307;Pankow;Pankow;5.66;64473;11391;52.583228;13.399096;690
308;Blankenfelde;Pankow;13.4;243;181,3;52.630218;13.382765;1733
309;Buch;Pankow;18.2;16725;919;52.635835;13.491638;2379
310;Französisch Buchholz;Pankow;12;21266;1772;52.590437;13.427962;1544
311;Niederschönhausen;Pankow;6.49;31917;4918;52.583228;13.399096;802
312;Rosenthal;Pankow;4.9;9484;1936;52.596595;13.36724;588
313;Wilhelmsruh;Pankow;1.37;7916;5778;52.581694;13.36224;113
401;Charlottenburg;Charlottenburg-Wilmersdorf;10.6;130223;12285;52.5034;13.338637;1356
402;Wilmersdorf;Charlottenburg-Wilmersdorf;7.16;10224;14279;52.475802;13.324854;892
403;Schmargendorf;Charlottenburg-Wilmersdorf;3.59;22157;6172;52.488627;13.300242;412
404;Grunewald;Charlottenburg-Wilmersdorf;22.3;1089;488,3;52.492659;13.282142;2931
405;Westend;Charlottenburg-Wilmersdorf;13.5;41752;3093;52.514708;13.239776;1746
406;Charlottenburg-Nord;Charlottenburg-Wilmersdorf;6.2;19514;3147;52.530279;13.299667;763
407;Halensee;Charlottenburg-Wilmersdorf;1.27;15556;12249;52.492659;13.282142;99
501;Spandau;Spandau;8.03;39619;4934;52.534772;13.197453;1010
502;Haselhorst;Spandau;4.73;15669;3313;52.539924;13.226476;565
503;Siemensstadt;Spandau;5.66;12791;2260;52.549495;13.251369;690
504;Staaken;Spandau;10.9;46223;4241;52.537811;13.140536;1396
505;Gatow;Spandau;10.1;3741;370,4;52.471677;13.137983;1288
506;Kladow;Spandau;14.8;16093;1087;52.471677;13.137983;1921
507;Hakenfelde;Spandau;20.4;30831;1511;52.55203;13.208548;2676
508;Falkenhagener Feld;Spandau;6.88;38592;5609;52.557935;13.171479;855
509;Wilhelmstadt;Spandau;10.4;40418;3886;52.526277;13.1941;1329
601;Steglitz;Steglitz-Zehlendorf;6.79;75428;11109;52.418732;13.196405;843
602;Lichterfelde;Steglitz-Zehlendorf;18.2;85805;4715;52.42986;13.32917;2379
603;Lankwitz;Steglitz-Zehlendorf;6.99;43312;6196;52.438785;13.342063;870
604;Zehlendorf;Steglitz-Zehlendorf;18.8;60352;3210;52.436766;13.23324;2460
605;Dahlem;Steglitz-Zehlendorf;8.39;16836;2007;52.453935;13.292194;1058
606;Nikolassee;Steglitz-Zehlendorf;19.6;16694;851,7;52.418732;13.196405;2568
607;Wannsee;Steglitz-Zehlendorf;23.7;1027;433,3;52.421199;13.18006;3120
701;Schöneberg;Tempelhof-Schöneberg;10.6;12368;11668;52.475981;13.365073;1356
702;Friedenau;Tempelhof-Schöneberg;1.65;28355;17185;52.475802;13.324854;150
703;Tempelhof;Tempelhof-Schöneberg;12.2;62442;5118;52.475802;13.324854;1571
704;Mariendorf;Tempelhof-Schöneberg;9.38;52954;5645;52.439289;13.378327;1191
705;Marienfelde;Tempelhof-Schöneberg;9.15;32463;3548;52.410545;13.382772;1160
706;Lichtenrade;Tempelhof-Schöneberg;10.1;5175;5124;52.387283;13.396491;1288
801;Neukölln;Neukölln;11.7;166126;14199;52.467634;13.431241;1504
802;Britz;Neukölln;12.4;4264;3439;52.433254;13.416679;1598
803;Buckow;Neukölln;6.35;40888;6439;52.433254;13.416679;783
804;Rudow;Neukölln;11.8;42587;3609;52.373411;13.511311;1517
805;Gropiusstadt;Neukölln;2.66;3745;14079;52.423768;13.454347;286
901;Alt-Treptow;Treptow-Köpenick;2.31;12635;5470;52.493849;13.46183;239
902;Plänterwald;Treptow-Köpenick;3.01;11311;3758;52.478589;13.47324;333
903;Baumschulenweg;Treptow-Köpenick;4.82;18838;3908;52.4674;13.489862;577
904;Johannisthal;Treptow-Köpenick;6.54;1984;3034;52.430106;13.507573;809
905;Niederschöneweide;Treptow-Köpenick;3.49;12562;3599;52.454874;13.509251;398
906;Altglienicke;Treptow-Köpenick;7.89;28844;3656;52.390907;13.513047;991
907;Adlershof;Treptow-Köpenick;6.11;19585;3205;52.434735;13.541557;751
908;Bohnsdorf;Treptow-Köpenick;6.52;11683;1792;52.412879;13.573638;806
909;Oberschöneweide;Treptow-Köpenick;6.18;23286;3768;52.478921;13.499754;760
910;Köpenick;Treptow-Köpenick;34.9;66147;1895;52.456754;13.579215;4628
911;Friedrichshagen;Treptow-Köpenick;14;19139;1367;52.457903;13.603139;1814
